"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Hamza el Dahri,"MF,FW",Sparta R'dam,2005.0,5.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Engels,"FW,MF",Heracles Almelo,1993.0,34.0,15.0,1598.0,17.8,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,4.1,4.1,2.9,7.0,25.0,20.0,95.0,0.28,0.17,0.45,0.28,0.45,0.23,0.17,0.4,0.23,0.4
Marcelencio Esajas,"MF,FW",Almere City,2002.0,1.0,0.0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.65,2.65,0.0,2.65,0.0,0.12,0.12,0.0,0.12
Luca Everink,DF,Go Ahead Eag,2001.0,7.0,2.0,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12
Kevin Felida,MF,RKC Waalwijk,1999.0,17.0,8.0,794.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.4,6.0,22.0,10.0,0.11,0.0,0.11,0.11,0.11,0.01,0.03,0.04,0.01,0.04
Arianit Ferati,"MF,DF",Fortuna Sittard,1997.0,16.0,9.0,739.0,8.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,8.0,39.0,29.0,0.0,0.12,0.12,0.0,0.12,0.09,0.04,0.13,0.09,0.13
Derensili Fernandes,"FW,MF",Excelsior,2001.0,30.0,16.0,1291.0,14.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.8,1.8,3.5,5.3,44.0,45.0,107.0,0.14,0.0,0.14,0.14,0.14,0.12,0.25,0.37,0.12,0.37
Rashaan Fernandes,"FW,MF",Go Ahead Eag,1998.0,6.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.45,0.22,0.45
Nick Fichtinger,MF,Zwolle,,6.0,4.0,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.3,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09
Ezechiel Fiemawhle,"MF,FW",Volendam,,2.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
