"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Maximilian Bauer,DF,Augsburg,2000.0,14.0,9.0,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,0.0,1.4,2.0,25.0,1.0,0.11,0.0,0.11,0.11,0.11,0.15,0.0,0.15,0.15,0.15
Elias Baum,"DF,MF",Eint Frankfurt,2005.0,4.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,GK,Hoffenheim,1990.0,34.0,34.0,3060.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
Christoph Baumgartner,"MF,FW",RB Leipzig,1999.0,32.0,11.0,1158.0,12.9,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,3.7,3.7,1.6,5.2,36.0,47.0,86.0,0.39,0.08,0.47,0.39,0.47,0.28,0.12,0.41,0.28,0.41
Ihlas Bebou,"FW,DF",Hoffenheim,1994.0,32.0,16.0,1636.0,18.2,7.0,5.0,12.0,7.0,0.0,0.0,3.0,0.0,4.9,4.9,2.6,7.5,42.0,38.0,145.0,0.39,0.28,0.66,0.39,0.66,0.27,0.14,0.41,0.27,0.41
Adrian Beck,"MF,FW",Heidenheim,1997.0,23.0,11.0,974.0,10.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.8,2.5,17.0,29.0,43.0,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23
Sheraldo Becker,"FW,MF",Union Berlin,1995.0,11.0,7.0,645.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.8,2.6,32.0,20.0,73.0,0.0,0.14,0.14,0.0,0.14,0.12,0.25,0.37,0.12,0.37
Chris Bedia,"FW,MF",Union Berlin,1996.0,7.0,0.0,145.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,1.0,1.0,6.0,0.62,0.0,0.62,0.62,0.62,0.13,0.11,0.24,0.13,0.24
Donny van de Beek,"MF,FW",Eint Frankfurt,1997.0,8.0,4.0,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12
Kevin Behrens,FW,Wolfsburg,1991.0,13.0,7.0,616.0,6.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,0.9,2.5,7.0,17.0,41.0,0.15,0.15,0.29,0.15,0.29,0.23,0.13,0.36,0.23,0.36
