"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, League)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","('Unnamed: 36_level_0', 'Matches')","(Background Information, League)"
Pierre Lees-Melou,MF,Brest,Ligue1,1993.0,29.0,29.0,2517.0,28.0,4.0,0.0,4.0,4.0,0.0,0.0,12.0,1.0,2.4,2.4,2.4,4.8,51.0,193.0,43.0,0.14,0.0,0.14,0.14,0.14,0.09,0.08,0.17,0.09,0.17,Matches,Ligue1
Johann Lepenant,MF,Lyon,Ligue1,2002.0,6.0,2.0,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,5.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,Ligue1
Léo Leroy,MF,Montpellier,Ligue1,2000.0,21.0,3.0,499.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.7,1.5,8.0,21.0,9.0,0.0,0.18,0.18,0.0,0.18,0.15,0.13,0.28,0.15,0.28,Matches,Ligue1
Gautier Lloris,DF,Le Havre,Ligue1,1995.0,31.0,31.0,2778.0,30.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.2,2.3,13.0,105.0,5.0,0.06,0.0,0.06,0.06,0.06,0.07,0.01,0.07,0.07,0.07,Matches,Ligue1
Abou Lô,"MF,DF",Metz,Ligue1,2000.0,6.0,2.0,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.3,0.5,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,Matches,Ligue1
Bradley Locko,DF,Brest,Ligue1,2002.0,33.0,33.0,2959.0,32.9,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.6,1.9,83.0,129.0,162.0,0.0,0.09,0.09,0.0,0.09,0.01,0.05,0.06,0.01,0.06,Matches,Ligue1
Renan Lodi,DF,Marseille,Ligue1,1998.0,14.0,14.0,1235.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,1.3,1.6,25.0,51.0,77.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches,Ligue1
Andy Logbo,FW,Le Havre,Ligue1,2004.0,10.0,2.0,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16,Matches,Ligue1
Anthony Lopes,GK,Lyon,Ligue1,1990.0,31.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Ligue1
Player,Pos,Squad,Ligue1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ligue1
Pau López,GK,Marseille,Ligue1,1994.0,33.0,33.0,2939.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Ligue1
Jordan Lotomba,DF,Nice,Ligue1,1998.0,28.0,21.0,1804.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.1,2.0,36.0,52.0,40.0,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.1,0.04,0.1,Matches,Ligue1
Tom Louchet,"MF,DF",Nice,Ligue1,2003.0,13.0,3.0,409.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,6.0,18.0,40.0,0.22,0.22,0.44,0.22,0.44,0.23,0.16,0.38,0.23,0.38,Matches,Ligue1
Imran Louza,MF,Lorient,Ligue1,1999.0,14.0,10.0,863.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,2.5,3.6,19.0,83.0,36.0,0.1,0.31,0.42,0.1,0.42,0.11,0.27,0.37,0.11,0.37,Matches,Ligue1
Dejan Lovren,DF,Lyon,Ligue1,1989.0,10.0,8.0,718.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.0,0.5,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Ligue1
Joshua M'Bahia,MF,Clermont Foot,Ligue1,2005.0,1.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,Ligue1
Othmane Maamma,FW,Montpellier,Ligue1,2005.0,2.0,1.0,88.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,7.0,2.0,3.0,1.02,0.0,1.02,1.02,1.02,0.27,0.47,0.74,0.27,0.74,Matches,Ligue1
Deiver Machado,DF,Lens,Ligue1,1993.0,19.0,13.0,1124.0,12.5,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,1.7,1.7,1.3,2.9,22.0,26.0,74.0,0.32,0.0,0.32,0.32,0.32,0.13,0.1,0.24,0.13,0.24,Matches,Ligue1
Soungoutou Magassa,"DF,MF",Monaco,Ligue1,2003.0,21.0,15.0,1346.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,0.1,0.8,7.0,92.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Ligue1
Hugo Magnetti,MF,Brest,Ligue1,1998.0,33.0,30.0,2340.0,26.0,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.4,2.4,1.8,4.3,36.0,101.0,61.0,0.08,0.0,0.08,0.08,0.08,0.09,0.07,0.16,0.09,0.16,Matches,Ligue1
Yohann Magnin,MF,Clermont Foot,Ligue1,1997.0,31.0,17.0,1687.0,18.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.7,2.3,14.0,71.0,47.0,0.05,0.0,0.05,0.05,0.05,0.09,0.04,0.12,0.09,0.12,Matches,Ligue1
Frank Magri,"FW,MF",Toulouse,Ligue1,1999.0,29.0,14.0,1438.0,16.0,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,3.1,3.1,1.6,4.7,31.0,34.0,121.0,0.31,0.13,0.44,0.31,0.44,0.19,0.1,0.29,0.19,0.29,Matches,Ligue1
Adel Mahamoud,FW,Nantes,Ligue1,2003.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Habib Maïga,"MF,FW",Metz,Ligue1,1996.0,7.0,1.0,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Ligue1
Ainsley Maitland-Niles,"DF,MF",Lyon,Ligue1,1997.0,23.0,16.0,1432.0,15.9,1.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,3.0,2.2,2.1,4.2,26.0,76.0,82.0,0.06,0.25,0.31,0.0,0.25,0.19,0.13,0.32,0.14,0.27,Matches,Ligue1
Radosław Majecki,GK,Monaco,Ligue1,1999.0,12.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Lovro Majer,MF,Rennes,Ligue1,1998.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,1.39,1.52,0.14,1.52,Matches,Ligue1
Jean-Victor Makengo,"MF,FW",Lorient,Ligue1,1998.0,11.0,5.0,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,11.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Ligue1
Aaron Malouda,FW,Lille,Ligue1,2005.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Hianga Mananga Mbock,"MF,FW",Brest,Ligue1,1999.0,2.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.62,2.17,0.55,2.17,Matches,Ligue1
Steve Mandanda,GK,Rennes,Ligue1,1985.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Orel Mangala,MF,Lyon,Ligue1,1998.0,8.0,4.0,398.0,4.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.6,9.0,26.0,21.0,0.45,0.0,0.45,0.45,0.45,0.22,0.15,0.37,0.22,0.37,Matches,Ligue1
Vito Mannone,GK,Lille,Ligue1,1988.0,2.0,1.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Faitout Maouassa,"MF,DF",Lens,Ligue1,1998.0,3.0,1.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,Matches,Ligue1
Guillermo Maripán,DF,Monaco,Ligue1,1994.0,23.0,21.0,1767.0,19.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.5,0.9,4.0,59.0,5.0,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.05,0.02,0.05,Matches,Ligue1
Player,Pos,Squad,Ligue1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ligue1
Marquinhos,"FW,MF",Nantes,Ligue1,2003.0,7.0,1.0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.43,0.58,0.15,0.58,Matches,Ligue1
Marquinhos,DF,Paris S-G,Ligue1,1994.0,21.0,18.0,1537.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,18.0,114.0,3.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.05,0.03,0.05,Matches,Ligue1
Jonas Martin,MF,Brest,Ligue1,1990.0,31.0,9.0,1208.0,13.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,0.9,2.1,28.0,105.0,32.0,0.0,0.07,0.07,0.0,0.07,0.09,0.07,0.15,0.09,0.15,Matches,Ligue1
Clinton Mata,DF,Lyon,Ligue1,1992.0,28.0,25.0,2220.0,24.7,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,2.2,2.8,32.0,97.0,60.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,Matches,Ligue1
Eliot Matazo,MF,Monaco,Ligue1,2002.0,6.0,0.0,102.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,2.0,10.0,2.0,0.0,0.88,0.88,0.0,0.88,0.07,0.91,0.98,0.07,0.98,Matches,Ligue1
Nemanja Matić,MF,Rennes,Ligue1,1988.0,13.0,11.0,1027.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,0.8,1.1,14.0,83.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,Ligue1
Nemanja Matić,MF,Lyon,Ligue1,1988.0,15.0,15.0,1254.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,26.0,118.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,Ligue1
Chrislain Matsima,DF,Clermont Foot,Ligue1,2002.0,14.0,13.0,1180.0,13.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,13.0,45.0,1.0,0.08,0.0,0.08,0.08,0.08,0.01,0.0,0.01,0.01,0.01,Matches,Ligue1
Chrislain Matsima,DF,Monaco,Ligue1,2002.0,6.0,3.0,298.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,5.0,31.0,5.0,0.0,0.3,0.3,0.0,0.3,0.04,0.02,0.06,0.04,0.06,Matches,Ligue1
Azor Matusiwa,MF,Reims,Ligue1,1998.0,16.0,16.0,1385.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.7,1.3,12.0,78.0,12.0,0.06,0.0,0.06,0.06,0.06,0.04,0.04,0.09,0.04,0.09,Matches,Ligue1
Azor Matusiwa,MF,Rennes,Ligue1,1998.0,12.0,9.0,794.0,8.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,3.0,64.0,12.0,0.0,0.11,0.11,0.0,0.11,0.04,0.04,0.08,0.04,0.08,Matches,Ligue1
Aïman Maurer,"MF,FW",Clermont Foot,Ligue1,2004.0,5.0,0.0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Ligue1
Christian Mawissa,DF,Toulouse,Ligue1,2005.0,17.0,12.0,1118.0,12.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,1.3,26.0,39.0,11.0,0.16,0.0,0.16,0.16,0.16,0.08,0.02,0.1,0.08,0.1,Matches,Ligue1
Noam Mayoka-Tika,MF,Marseille,Ligue1,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Senny Mayulu,"FW,MF",Paris S-G,Ligue1,2006.0,8.0,3.0,324.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,4.0,11.0,38.0,0.0,0.28,0.28,0.0,0.28,0.04,0.13,0.17,0.04,0.17,Matches,Ligue1
Youssef Maziz,"FW,MF",Metz,Ligue1,1998.0,2.0,2.0,124.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,6.0,2.0,0.73,0.0,0.73,0.73,0.73,0.08,0.04,0.12,0.08,0.12,Matches,Ligue1
Ethan Mbappé,"MF,DF",Paris S-G,Ligue1,2006.0,3.0,0.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,Ligue1
Kylian Mbappé,FW,Paris S-G,Ligue1,1998.0,29.0,24.0,2158.0,24.0,27.0,7.0,34.0,21.0,6.0,8.0,4.0,0.0,21.0,14.5,5.7,20.2,114.0,122.0,286.0,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.6,0.84,Matches,Ligue1
Malick Mbaye,"MF,FW",Metz,Ligue1,2004.0,5.0,1.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,8.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.26,0.11,0.37,0.26,0.37,Matches,Ligue1
Chancel Mbemba,DF,Marseille,Ligue1,1994.0,25.0,25.0,2207.0,24.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,1.0,2.8,16.0,131.0,10.0,0.08,0.08,0.16,0.08,0.16,0.07,0.04,0.12,0.07,0.12,Matches,Ligue1
Nolan Mbemba,MF,Le Havre,Ligue1,1995.0,6.0,0.0,22.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.09,0.0,4.09,4.09,4.09,0.17,0.0,0.17,0.17,0.17,Matches,Ligue1
Christ Mbondi,FW,Reims,Ligue1,2004.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Facundo Medina,DF,Lens,Ligue1,1999.0,31.0,30.0,2714.0,30.2,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,1.1,1.1,1.8,2.9,51.0,219.0,20.0,0.03,0.1,0.13,0.03,0.13,0.04,0.06,0.1,0.04,0.1,Matches,Ligue1
Bamo Meïté,DF,Marseille,Ligue1,2001.0,16.0,6.0,638.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,11.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Ligue1
Bamo Meïté,DF,Lorient,Ligue1,2001.0,2.0,2.0,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Player,Pos,Squad,Ligue1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ligue1
Birger Meling,DF,Rennes,Ligue1,1994.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.8,Matches,Ligue1
Nuno Mendes,DF,Paris S-G,Ligue1,2002.0,6.0,2.0,267.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,12.0,21.0,25.0,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25,Matches,Ligue1
Antoine Mendy,DF,Nice,Ligue1,2004.0,10.0,4.0,418.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,3.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches,Ligue1
Benjamin Mendy,DF,Lorient,Ligue1,1994.0,15.0,7.0,711.0,7.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.9,3.0,26.0,34.0,85.0,0.25,0.13,0.38,0.25,0.38,0.14,0.24,0.38,0.14,0.38,Matches,Ligue1
Formose Mendy,DF,Lorient,Ligue1,2001.0,18.0,13.0,1256.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.1,0.4,14.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches,Ligue1
Nampalys Mendy,MF,Lens,Ligue1,1992.0,16.0,13.0,1052.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.3,21.0,84.0,13.0,0.0,0.09,0.09,0.0,0.09,0.02,0.09,0.11,0.02,0.11,Matches,Ligue1
Quentin Merlin,DF,Marseille,Ligue1,2002.0,10.0,8.0,703.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.1,1.3,15.0,46.0,56.0,0.0,0.13,0.13,0.0,0.13,0.02,0.15,0.16,0.02,0.16,Matches,Ligue1
Quentin Merlin,DF,Nantes,Ligue1,2002.0,16.0,15.0,1283.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,2.0,34.0,98.0,62.0,0.0,0.07,0.07,0.0,0.07,0.05,0.09,0.14,0.05,0.14,Matches,Ligue1
Bastien Meupiyou,DF,Nantes,Ligue1,2006.0,1.0,1.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Lucas Michel,FW,Monaco,Ligue1,2004.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Georges Mikautadze,FW,Metz,Ligue1,2000.0,20.0,20.0,1747.0,19.4,13.0,4.0,17.0,10.0,3.0,3.0,0.0,1.0,9.5,7.2,2.4,9.5,52.0,51.0,95.0,0.67,0.21,0.88,0.52,0.72,0.49,0.12,0.61,0.37,0.49,Matches,Ligue1
Takumi Minamino,MF,Monaco,Ligue1,1995.0,30.0,25.0,2117.0,23.5,9.0,6.0,15.0,9.0,0.0,0.0,4.0,0.0,5.9,5.9,4.9,10.8,48.0,97.0,198.0,0.38,0.26,0.64,0.38,0.64,0.25,0.21,0.46,0.25,0.46,Matches,Ligue1
Lucas Mincarelli,"DF,MF",Montpellier,Ligue1,2004.0,13.0,12.0,978.0,10.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.6,0.9,24.0,26.0,40.0,0.09,0.09,0.18,0.09,0.18,0.03,0.05,0.09,0.03,0.09,Matches,Ligue1
Ignacio Miramon,MF,Lille,Ligue1,2003.0,2.0,1.0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Ligue1
Terem Moffi,FW,Nice,Ligue1,1999.0,30.0,23.0,1949.0,21.7,11.0,2.0,13.0,8.0,3.0,3.0,4.0,0.0,10.7,8.3,3.2,11.5,24.0,27.0,123.0,0.51,0.09,0.6,0.37,0.46,0.49,0.15,0.64,0.38,0.53,Matches,Ligue1
Mostafa Mohamed,FW,Nantes,Ligue1,1997.0,29.0,24.0,2002.0,22.2,8.0,2.0,10.0,5.0,3.0,3.0,3.0,1.0,7.8,5.5,2.4,7.8,23.0,25.0,115.0,0.36,0.09,0.45,0.22,0.31,0.35,0.11,0.46,0.25,0.35,Matches,Ligue1
Dion Moise Sahi,"MF,FW",Strasbourg,Ligue1,2001.0,18.0,7.0,628.0,7.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,4.1,4.1,1.3,5.4,13.0,21.0,42.0,0.43,0.14,0.57,0.43,0.57,0.58,0.19,0.77,0.58,0.77,Matches,Ligue1
Florent Mollet,"MF,FW",Nantes,Ligue1,1991.0,29.0,24.0,2083.0,23.1,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,5.9,5.9,2.5,8.4,27.0,96.0,145.0,0.17,0.17,0.35,0.17,0.35,0.25,0.11,0.36,0.25,0.36,Matches,Ligue1
Enzo Mongo,DF,Nantes,Ligue1,2005.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
Diego Moreira,"FW,MF",Lyon,Ligue1,2004.0,7.0,4.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.3,1.0,10.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.24,0.11,0.35,0.24,0.35,Matches,Ligue1
Lebo Mothiba,FW,Strasbourg,Ligue1,1996.0,15.0,5.0,617.0,6.9,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.6,4.6,0.2,4.8,8.0,9.0,27.0,0.44,0.0,0.44,0.44,0.44,0.67,0.02,0.7,0.67,0.7,Matches,Ligue1
Steve Mounié,FW,Brest,Ligue1,1994.0,32.0,20.0,1769.0,19.7,6.0,2.0,8.0,6.0,0.0,0.0,2.0,1.0,8.9,8.9,2.1,11.0,22.0,25.0,111.0,0.31,0.1,0.41,0.31,0.41,0.45,0.11,0.56,0.45,0.56,Matches,Ligue1
Samuel Moutoussamy,MF,Nantes,Ligue1,1996.0,26.0,11.0,1107.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.6,2.3,20.0,59.0,33.0,0.08,0.0,0.08,0.08,0.08,0.14,0.05,0.19,0.14,0.19,Matches,Ligue1
Loris Mouyokolo,DF,Lorient,Ligue1,2001.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ligue1
François Mughe,"MF,DF",Marseille,Ligue1,2004.0,5.0,2.0,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,7.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,Ligue1
Player,Pos,Squad,Ligue1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ligue1
Joel Mugisha,FW,Lorient,Ligue1,2002.0,6.0,2.0,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Ligue1
