"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","('Unnamed: 36_level_0', 'Matches')"
Saïd Benrahma,"FW,MF",Lyon,1995.0,12.0,10.0,770.0,8.6,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,3.6,5.2,46.0,34.0,113.0,0.35,0.35,0.7,0.35,0.7,0.19,0.42,0.61,0.19,0.61,Matches
Nabil Bentaleb,MF,Lille,1994.0,26.0,23.0,1967.0,21.9,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.9,1.2,11.0,136.0,17.0,0.0,0.14,0.14,0.0,0.14,0.02,0.04,0.06,0.02,0.06,Matches
Lucas Beraldo,DF,Paris S-G,2003.0,13.0,12.0,1008.0,11.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.2,1.2,7.0,44.0,2.0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches
Dimitry Bertaud,GK,Montpellier,1998.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Bizot,GK,Brest,1991.0,32.0,32.0,2876.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubén Blanco,GK,Marseille,1995.0,2.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ludovic Blas,"FW,MF",Rennes,1997.0,29.0,18.0,1563.0,17.4,4.0,1.0,5.0,3.0,1.0,2.0,3.0,0.0,4.7,3.1,1.7,4.8,46.0,59.0,157.0,0.23,0.06,0.29,0.17,0.23,0.27,0.1,0.37,0.18,0.27,Matches
Myron Boadu,FW,Monaco,2001.0,9.0,0.0,85.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,3.0,1.0,9.0,1.06,0.0,1.06,1.06,1.06,0.46,0.0,0.46,0.46,0.46,Matches
Jeremie Boga,FW,Nice,1997.0,28.0,24.0,1998.0,22.2,6.0,6.0,12.0,6.0,0.0,0.0,1.0,0.0,4.3,4.3,4.2,8.5,107.0,64.0,170.0,0.27,0.27,0.54,0.27,0.54,0.19,0.19,0.38,0.19,0.38,Matches
Adama Bojang,FW,Reims,2004.0,9.0,0.0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.0,1.3,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.38,0.05,1.43,1.38,1.43,Matches
Ângelo Borges,"FW,MF",Strasbourg,2004.0,21.0,11.0,1094.0,12.2,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,3.3,3.7,50.0,59.0,109.0,0.0,0.25,0.25,0.0,0.25,0.04,0.27,0.31,0.04,0.31,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Neto Borges,DF,Clermont Foot,1996.0,28.0,28.0,2516.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.5,0.5,2.8,3.4,58.0,88.0,165.0,0.0,0.04,0.04,0.0,0.04,0.02,0.1,0.12,0.02,0.12,Matches
Saïmon Bouabré,MF,Monaco,2006.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ayyoub Bouaddi,MF,Lille,2007.0,9.0,1.0,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Badredine Bouanani,FW,Nice,2004.0,7.0,1.0,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,10.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.37,0.12,0.37,Matches
Badredine Bouanani,MF,Lorient,2004.0,11.0,4.0,443.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.9,2.3,30.0,32.0,27.0,0.2,0.0,0.2,0.2,0.2,0.28,0.18,0.46,0.28,0.46,Matches
Mohamed Bouchenna,"MF,FW",Clermont Foot,2006.0,2.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19,0.65,0.85,0.19,0.85,Matches
Hicham Boudaoui,MF,Nice,1999.0,29.0,17.0,1613.0,17.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.3,3.3,1.8,5.1,28.0,78.0,58.0,0.11,0.0,0.11,0.11,0.11,0.19,0.1,0.29,0.19,0.29,Matches
Benjamin Bourigeaud,"MF,FW",Rennes,1994.0,32.0,29.0,2425.0,26.9,9.0,6.0,15.0,2.0,7.0,7.0,1.0,0.0,9.9,4.4,6.7,11.1,27.0,178.0,139.0,0.33,0.22,0.56,0.07,0.3,0.37,0.25,0.62,0.16,0.41,Matches
Bilal Boutobba,"FW,MF",Clermont Foot,1998.0,27.0,10.0,926.0,10.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.7,3.7,38.0,43.0,86.0,0.1,0.1,0.19,0.1,0.19,0.2,0.17,0.36,0.2,0.36,Matches
Hugo Boutsingkham,"MF,FW",Nantes,2003.0,2.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bilal Brahimi,FW,Nice,2000.0,2.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,Matches
Bilal Brahimi,"FW,MF",Brest,2000.0,18.0,1.0,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.3,0.4,15.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.15,0.04,0.15,Matches
Lilian Brassier,DF,Brest,1999.0,30.0,30.0,2677.0,29.7,3.0,0.0,3.0,3.0,0.0,0.0,11.0,1.0,1.1,1.1,0.6,1.6,20.0,121.0,5.0,0.1,0.0,0.1,0.1,0.1,0.04,0.02,0.06,0.04,0.06,Matches
Maxime Busi,"FW,DF",Reims,1999.0,5.0,1.0,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21,Matches
Marcin Bułka,GK,Nice,1999.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rémy Cabella,"FW,MF",Lille,1990.0,30.0,14.0,1477.0,16.4,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,5.2,5.2,3.3,8.5,72.0,106.0,160.0,0.12,0.12,0.24,0.12,0.24,0.32,0.2,0.52,0.32,0.52,Matches
Duje Ćaleta-Car,DF,Lyon,1996.0,24.0,22.0,1993.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,1.0,1.5,5.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Lamine Camara,MF,Metz,2004.0,31.0,26.0,2255.0,25.1,1.0,4.0,5.0,1.0,0.0,1.0,3.0,0.0,2.2,1.4,3.3,4.7,23.0,97.0,69.0,0.04,0.16,0.2,0.04,0.2,0.09,0.13,0.22,0.06,0.19,Matches
Mahdi Camara,MF,Brest,1998.0,32.0,26.0,2020.0,22.4,7.0,3.0,10.0,6.0,1.0,1.0,7.0,0.0,4.9,4.1,3.1,7.1,37.0,81.0,129.0,0.31,0.13,0.45,0.27,0.4,0.22,0.14,0.35,0.18,0.32,Matches
Mohamed Camara,MF,Monaco,2000.0,20.0,14.0,1035.0,11.5,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.5,0.7,0.6,1.3,14.0,76.0,22.0,0.09,0.17,0.26,0.0,0.17,0.13,0.06,0.18,0.06,0.11,Matches
Axel Camblan,FW,Brest,2003.0,7.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,5.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.29,0.25,0.29,Matches
Fali Candé,DF,Metz,1998.0,25.0,20.0,1849.0,20.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.5,1.3,4.0,38.0,3.0,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Gino Caoki,MF,Lorient,2004.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maxence Caqueret,MF,Lyon,2000.0,34.0,34.0,3022.0,33.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,6.0,8.1,70.0,286.0,96.0,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24,Matches
Igor Carioca,"DF,MF",Lorient,1996.0,5.0,2.0,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,6.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonin Cartillier,DF,Monaco,2004.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Josué Casimir,"FW,DF",Le Havre,2001.0,30.0,25.0,2016.0,22.4,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,1.9,1.9,4.3,6.3,59.0,62.0,138.0,0.0,0.22,0.22,0.0,0.22,0.09,0.19,0.28,0.09,0.28,Matches
Cristian Cásseres Jr.,MF,Toulouse,2000.0,32.0,23.0,1946.0,21.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.7,2.8,14.0,87.0,52.0,0.05,0.14,0.18,0.05,0.18,0.05,0.08,0.13,0.05,0.13,Matches
Jean-Charles Castelletto,DF,Nantes,1995.0,28.0,28.0,2464.0,27.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.6,0.6,0.8,1.4,24.0,100.0,31.0,0.07,0.0,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05,Matches
Maximiliano Caufriez,DF,Clermont Foot,1997.0,20.0,20.0,1659.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,0.4,0.4,0.2,0.6,24.0,61.0,11.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,Matches
Ivan Cavaleiro,FW,Lille,1993.0,17.0,9.0,770.0,8.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.2,2.5,18.0,23.0,77.0,0.12,0.12,0.23,0.12,0.23,0.15,0.15,0.29,0.15,0.29,Matches
Fabien Centonze,DF,Nantes,1996.0,3.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fares Chaïbi,"FW,MF",Toulouse,2002.0,2.0,0.0,58.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,2.0,5.0,12.0,0.0,1.55,1.55,0.0,1.55,0.0,0.29,0.29,0.0,0.29,Matches
Muhammed Cham,"MF,FW",Clermont Foot,2000.0,33.0,29.0,2554.0,28.4,8.0,4.0,12.0,4.0,4.0,5.0,4.0,0.0,9.4,5.5,3.1,8.7,71.0,161.0,142.0,0.28,0.14,0.42,0.14,0.28,0.33,0.11,0.44,0.19,0.31,Matches
Brendan Chardonnet,DF,Brest,1994.0,33.0,33.0,2970.0,33.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,1.6,3.1,25.0,115.0,8.0,0.03,0.03,0.06,0.03,0.06,0.04,0.05,0.09,0.04,0.09,Matches
Jhoanner Chávez,DF,Lens,2002.0,8.0,6.0,481.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,4.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,Matches
Rayan Cherki,"MF,FW",Lyon,2003.0,33.0,19.0,1719.0,19.1,1.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,5.2,5.2,4.2,9.4,93.0,138.0,182.0,0.05,0.31,0.37,0.05,0.37,0.27,0.22,0.49,0.27,0.49,Matches
Lucas Chevalier,GK,Lille,2001.0,33.0,33.0,2969.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Chirivella,MF,Nantes,1997.0,32.0,31.0,2594.0,28.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,1.1,2.6,10.0,192.0,55.0,0.03,0.03,0.07,0.03,0.07,0.05,0.04,0.09,0.05,0.09,Matches
Joris Chotard,MF,Montpellier,2001.0,31.0,30.0,2587.0,28.7,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.9,2.6,12.0,111.0,40.0,0.0,0.1,0.1,0.0,0.1,0.02,0.07,0.09,0.02,0.09,Matches
Djaoui Cissé,MF,Rennes,2004.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ibrahim Cissoko,"FW,MF",Toulouse,2003.0,11.0,2.0,241.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,1.2,21.0,12.0,39.0,0.37,0.37,0.75,0.37,0.75,0.29,0.16,0.45,0.29,0.45,Matches
Alexis Claude-Maurice,MF,Nice,1998.0,18.0,4.0,504.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.0,15.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.19,0.13,0.19,Matches
Jonathan Clauss,DF,Marseille,1992.0,27.0,25.0,2068.0,23.0,3.0,4.0,7.0,3.0,0.0,0.0,2.0,1.0,1.3,1.3,4.6,5.9,59.0,137.0,172.0,0.13,0.17,0.3,0.13,0.3,0.06,0.2,0.26,0.06,0.26,Matches
Marcus Coco,"DF,FW",Nantes,1996.0,28.0,18.0,1481.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.0,1.8,28.0,55.0,65.0,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11,Matches
Maxime Colin,DF,Metz,1991.0,22.0,22.0,1832.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,23.0,67.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Eray Cömert,DF,Nantes,1998.0,25.0,23.0,1995.0,22.2,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.2,0.8,7.0,57.0,3.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.04,0.03,0.04,Matches
Alois Confais,"MF,FW",Le Havre,1996.0,2.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joaquín Correa,"FW,MF",Marseille,1994.0,12.0,6.0,430.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.4,9.0,25.0,57.0,0.0,0.0,0.0,0.0,0.0,0.13,0.16,0.29,0.13,0.29,Matches
Oscar Cortés,"FW,MF",Lens,2003.0,4.0,0.0,44.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.1,1.0,2.0,8.0,2.05,2.05,4.09,2.05,4.09,0.93,1.41,2.35,0.93,2.35,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
David Pereira da Costa,MF,Lens,2001.0,25.0,17.0,1494.0,16.6,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,3.0,3.0,3.5,6.5,53.0,73.0,101.0,0.24,0.12,0.36,0.24,0.36,0.18,0.21,0.39,0.18,0.39,Matches
Logan Costa,DF,Toulouse,2001.0,31.0,29.0,2650.0,29.4,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,0.6,2.0,19.0,145.0,14.0,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,Matches
Grégoire Coudert,GK,Brest,1999.0,3.0,2.0,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mamadou Coulibaly,MF,Monaco,2004.0,5.0,1.0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.18,0.13,0.18,Matches
Tanguy Coulibaly,"FW,MF",Montpellier,2001.0,16.0,7.0,623.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.6,2.6,0.8,3.3,27.0,13.0,48.0,0.14,0.0,0.14,0.14,0.14,0.37,0.11,0.48,0.37,0.48,Matches
Nicolas Cozza,DF,Nantes,1999.0,13.0,10.0,895.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.6,1.2,11.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,Matches
Trévis Dago,"FW,MF",Lille,2005.0,4.0,0.0,23.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.5,1.0,0.0,1.0,0.0,3.91,3.91,0.0,3.91,0.16,1.63,1.78,0.16,1.78,Matches
Thijs Dallinga,FW,Toulouse,2000.0,33.0,28.0,2510.0,27.9,14.0,2.0,16.0,13.0,1.0,3.0,6.0,0.0,14.1,11.8,1.2,13.0,32.0,38.0,164.0,0.5,0.07,0.57,0.47,0.54,0.51,0.04,0.55,0.42,0.47,Matches
Kevin Danso,DF,Lens,1998.0,30.0,30.0,2655.0,29.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.4,2.2,27.0,133.0,3.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,Matches
Dante,DF,Nice,1983.0,32.0,32.0,2843.0,31.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,1.0,2.0,13.0,185.0,6.0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.06,0.03,0.06,Matches
Raimane Daou,"DF,MF",Marseille,2004.0,1.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mohammed Daramy,"FW,MF",Reims,2002.0,25.0,19.0,1648.0,18.3,4.0,5.0,9.0,3.0,1.0,1.0,0.0,0.0,4.6,3.8,2.4,6.2,72.0,69.0,162.0,0.22,0.27,0.49,0.16,0.44,0.25,0.13,0.38,0.21,0.34,Matches
Achraf Dari,"DF,FW",Brest,1999.0,4.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Jonathan David,FW,Lille,2000.0,34.0,30.0,2629.0,29.2,19.0,4.0,23.0,17.0,2.0,3.0,4.0,0.0,17.5,15.0,3.3,18.3,47.0,79.0,198.0,0.65,0.14,0.79,0.58,0.72,0.6,0.11,0.71,0.51,0.63,Matches
Thibault De Smet,DF,Reims,1998.0,27.0,22.0,1831.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,0.8,1.1,23.0,104.0,66.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Romain Del Castillo,FW,Brest,1996.0,33.0,30.0,2497.0,27.7,8.0,8.0,16.0,5.0,3.0,3.0,4.0,0.0,5.2,2.9,9.9,12.8,101.0,155.0,287.0,0.29,0.29,0.58,0.18,0.47,0.19,0.36,0.55,0.1,0.46,Matches
Thomas Delaine,"DF,MF",Strasbourg,1992.0,27.0,24.0,2044.0,22.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,3.6,5.3,63.0,52.0,151.0,0.04,0.04,0.09,0.04,0.09,0.07,0.16,0.23,0.07,0.23,Matches
Sacha Delaye,"MF,FW",Montpellier,2002.0,9.0,0.0,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.3,0.23,0.3,Matches
Karamoko Dembele,"MF,FW",Brest,2003.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ousmane Dembélé,"MF,FW",Paris S-G,1997.0,26.0,17.0,1506.0,16.7,3.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,4.4,4.4,6.7,11.1,160.0,133.0,247.0,0.18,0.48,0.66,0.18,0.66,0.26,0.4,0.67,0.26,0.67,Matches
Jessy Deminguet,"MF,FW",Strasbourg,1998.0,18.0,9.0,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,7.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
Rémy Descamps,GK,Nantes,1996.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mikkel Desler,DF,Toulouse,1995.0,24.0,19.0,1544.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.0,0.7,1.7,30.0,81.0,96.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.1,0.06,0.1,Matches
Arthur Desmas,GK,Le Havre,1994.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Lamine Diack,MF,Nantes,2000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mamadou Diakhon,"FW,MF",Reims,2005.0,11.0,1.0,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,11.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.01,0.11,Matches
Bafodé Diakité,DF,Lille,2001.0,21.0,19.0,1696.0,18.8,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,1.4,3.5,15.0,95.0,16.0,0.27,0.11,0.37,0.27,0.37,0.11,0.08,0.19,0.11,0.19,Matches
Ibrahim Diakité,DF,Reims,2003.0,5.0,1.0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,7.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
Oumar Diakité,FW,Reims,2003.0,28.0,18.0,1585.0,17.6,5.0,1.0,6.0,5.0,0.0,1.0,4.0,0.0,7.0,6.2,1.3,7.5,29.0,28.0,107.0,0.28,0.06,0.34,0.28,0.34,0.4,0.07,0.47,0.35,0.43,Matches
Habib Diarra,"MF,FW",Strasbourg,2004.0,31.0,28.0,2305.0,25.6,3.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,3.4,2.7,1.3,3.9,59.0,107.0,88.0,0.12,0.04,0.16,0.08,0.12,0.13,0.05,0.18,0.1,0.15,Matches
Moussa Diarra,DF,Toulouse,2000.0,22.0,15.0,1397.0,15.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,1.1,1.6,18.0,70.0,12.0,0.06,0.13,0.19,0.06,0.19,0.03,0.07,0.1,0.03,0.1,Matches
