"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Background Information, League)"
Daan Bisschops,MF,Fortuna Sittard,2005.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Adrian Blake,"FW,MF",Utrecht,2005.0,5.0,0.0,30.0,0.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,3.0,2.0,6.0,3.0,3.0,6.0,3.0,6.0,1.57,0.27,1.83,1.57,1.83,Eredivisie
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie
Xander Blomme,MF,Go Ahead Eag,2002.0,12.0,8.0,711.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,1.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Eredivisie
Myron Boadu,"FW,MF",Twente,2001.0,11.0,2.0,301.0,3.3,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,4.1,4.1,0.1,4.2,7.0,7.0,27.0,0.9,0.0,0.9,0.9,0.9,1.22,0.03,1.25,1.22,1.25,Eredivisie
Paweł Bochniewicz,DF,Heerenveen,1996.0,29.0,26.0,2311.0,25.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.4,1.4,0.4,1.8,28.0,122.0,10.0,0.12,0.04,0.16,0.12,0.16,0.05,0.02,0.07,0.05,0.07,Eredivisie
Ruben van Bommel,FW,AZ Alkmaar,2004.0,29.0,21.0,1548.0,17.2,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,3.7,3.7,2.7,6.4,53.0,66.0,176.0,0.35,0.06,0.41,0.35,0.41,0.22,0.16,0.37,0.22,0.37,Eredivisie
Taylor Booth,FW,Utrecht,2001.0,17.0,13.0,867.0,9.6,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.7,2.8,37.0,21.0,81.0,0.52,0.0,0.52,0.52,0.52,0.21,0.08,0.29,0.21,0.29,Eredivisie
Zach Booth,"MF,FW",Volendam,2004.0,27.0,16.0,1558.0,17.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.8,3.8,1.6,5.3,42.0,21.0,78.0,0.12,0.12,0.23,0.12,0.23,0.22,0.09,0.31,0.22,0.31,Eredivisie
Yvandro Borges Sanches,"FW,MF",NEC Nijmegen,2004.0,8.0,1.0,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.1,10.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.25,0.18,0.44,0.25,0.44,Eredivisie
Olivier Boscagli,DF,PSV Eindhoven,1997.0,33.0,32.0,2832.0,31.5,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,3.1,5.2,52.0,374.0,12.0,0.1,0.1,0.19,0.1,0.19,0.07,0.1,0.17,0.07,0.17,Eredivisie
Othman Boussaid,FW,Utrecht,2000.0,29.0,23.0,1974.0,21.9,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,4.2,7.2,71.0,156.0,154.0,0.18,0.14,0.32,0.18,0.32,0.14,0.19,0.33,0.14,0.33,Eredivisie
Amine Boutrah,FW,Vitesse,2000.0,29.0,20.0,1822.0,20.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.5,4.3,85.0,63.0,182.0,0.15,0.1,0.25,0.15,0.25,0.14,0.07,0.21,0.14,0.21,Eredivisie
Can Bozdogan,MF,Utrecht,2001.0,31.0,21.0,1963.0,21.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.6,1.6,1.7,3.3,30.0,86.0,60.0,0.14,0.05,0.18,0.14,0.18,0.07,0.08,0.15,0.07,0.15,Eredivisie
Jayden Braaf,"FW,MF",Fortuna Sittard,2002.0,6.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.36,0.03,0.39,0.36,0.39,Eredivisie
Mattijs Branderhorst,GK,Utrecht,1993.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Oliver Braude,DF,Heerenveen,2004.0,28.0,24.0,2116.0,23.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.8,1.0,33.0,78.0,85.0,0.0,0.09,0.09,0.0,0.09,0.01,0.04,0.04,0.01,0.04,Eredivisie
Myron van Brederode,FW,AZ Alkmaar,2003.0,29.0,13.0,1311.0,14.6,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,3.2,4.9,64.0,82.0,146.0,0.14,0.27,0.41,0.14,0.41,0.11,0.22,0.34,0.11,0.34,Eredivisie
Joshua Brenet,DF,Twente,1994.0,15.0,13.0,1078.0,12.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.4,2.7,31.0,64.0,62.0,0.17,0.17,0.33,0.17,0.33,0.11,0.11,0.22,0.11,0.22,Eredivisie
Jakob Breum,FW,Go Ahead Eag,2003.0,32.0,15.0,1450.0,16.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.6,4.6,3.0,7.6,49.0,60.0,122.0,0.19,0.12,0.31,0.19,0.31,0.29,0.18,0.47,0.29,0.47,Eredivisie
Brian Brobbey,FW,Ajax,2002.0,30.0,29.0,2405.0,26.7,18.0,8.0,26.0,18.0,0.0,1.0,4.0,0.0,19.8,19.0,6.3,25.3,53.0,30.0,211.0,0.67,0.3,0.97,0.67,0.97,0.74,0.24,0.98,0.71,0.95,Eredivisie
Michael Brouwer,GK,Heracles Almelo,1993.0,34.0,34.0,3060.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Eredivisie
Luuk Brouwers,MF,Heerenveen,1998.0,26.0,25.0,2025.0,22.5,6.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,2.5,2.5,4.1,6.6,22.0,79.0,92.0,0.27,0.04,0.31,0.27,0.31,0.11,0.18,0.3,0.11,0.3,Eredivisie
Damian van Bruggen,DF,Almere City,1996.0,31.0,30.0,2500.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,0.6,1.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Eredivisie
Jordy Bruijn,MF,Heracles Almelo,1996.0,14.0,11.0,680.0,7.6,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.8,2.0,6.0,14.0,22.0,0.13,0.26,0.4,0.13,0.4,0.16,0.1,0.26,0.16,0.26,Eredivisie
Jeffrey Bruma,DF,RKC Waalwijk,1991.0,12.0,3.0,400.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.1,0.3,5.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,Eredivisie
Max Bruns,DF,Twente,2002.0,12.0,5.0,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.4,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Eredivisie
Thomas Bruns,"MF,FW",Heracles Almelo,1992.0,24.0,8.0,1082.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,2.2,3.2,15.0,54.0,55.0,0.0,0.17,0.17,0.0,0.17,0.09,0.18,0.27,0.09,0.27,Eredivisie
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie
Charles-Andréas Brym,"FW,MF",Sparta R'dam,1998.0,31.0,12.0,1379.0,15.3,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.1,4.1,2.3,6.3,37.0,40.0,94.0,0.26,0.13,0.39,0.26,0.39,0.26,0.15,0.41,0.26,0.41,Eredivisie
Thomas Buitink,FW,Vitesse,2000.0,13.0,5.0,479.0,5.3,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.1,7.0,10.0,30.0,0.19,0.56,0.75,0.19,0.75,0.08,0.31,0.39,0.08,0.39,Eredivisie
Stijn Bultman,DF,Heracles Almelo,2005.0,14.0,11.0,1117.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,4.0,18.0,3.0,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.08,0.01,0.08,Eredivisie
Oskar Buur,DF,Volendam,1998.0,24.0,20.0,1648.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.6,1.9,37.0,49.0,78.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.1,0.02,0.1,Eredivisie
Zico Buurmeester,MF,Zwolle,2002.0,17.0,15.0,1362.0,15.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.7,0.7,0.9,1.6,9.0,60.0,29.0,0.0,0.13,0.13,0.0,0.13,0.05,0.06,0.11,0.05,0.11,Eredivisie
Yoann Cathline,"DF,FW",Almere City,2002.0,28.0,19.0,1718.0,19.1,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,2.8,2.8,1.6,4.5,72.0,42.0,141.0,0.21,0.1,0.31,0.21,0.31,0.15,0.09,0.23,0.15,0.23,Eredivisie
Sava Cestic,DF,Heracles Almelo,2001.0,6.0,2.0,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Eredivisie
Tjaronn Chery,"MF,FW",NEC Nijmegen,1988.0,14.0,12.0,1037.0,11.5,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,3.2,3.2,2.4,5.6,27.0,65.0,57.0,0.43,0.17,0.61,0.43,0.61,0.28,0.2,0.49,0.28,0.49,Eredivisie
Jasper Cillessen,GK,NEC Nijmegen,1989.0,30.0,30.0,2640.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Jordy Clasie,MF,AZ Alkmaar,1991.0,28.0,28.0,2468.0,27.4,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,2.2,3.1,28.0,211.0,41.0,0.07,0.11,0.18,0.07,0.18,0.03,0.08,0.11,0.03,0.11,Eredivisie
Pelle Clement,"MF,FW",Sparta R'dam,1996.0,29.0,21.0,1900.0,21.1,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,2.3,2.3,2.5,4.8,34.0,89.0,86.0,0.09,0.19,0.28,0.09,0.28,0.11,0.12,0.23,0.11,0.23,Eredivisie
Denilho Cleonise,"FW,MF",RKC Waalwijk,2001.0,33.0,24.0,1800.0,20.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,3.4,3.4,3.3,6.6,99.0,38.0,145.0,0.05,0.2,0.25,0.05,0.25,0.17,0.16,0.33,0.17,0.33,Eredivisie
Iñigo Córdoba,"FW,MF",Fortuna Sittard,1997.0,33.0,31.0,2631.0,29.2,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,6.2,6.2,3.6,9.8,112.0,103.0,221.0,0.14,0.07,0.21,0.14,0.21,0.21,0.12,0.34,0.21,0.34,Eredivisie
Enzo Cornelisse,"DF,MF",Vitesse,2003.0,27.0,12.0,1538.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.8,0.9,7.0,44.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Eredivisie
Milan Corryn,"MF,FW",Almere City,1999.0,7.0,1.0,160.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,2.0,5.0,5.0,0.0,0.56,0.56,0.0,0.56,0.08,0.16,0.25,0.08,0.25,Eredivisie
George Cox,"DF,MF",Volendam,1998.0,23.0,23.0,1913.0,21.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,2.5,2.9,39.0,75.0,56.0,0.0,0.05,0.05,0.0,0.05,0.02,0.12,0.14,0.02,0.14,Eredivisie
Vito van Crooy,FW,Sparta R'dam,1996.0,3.0,3.0,262.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,7.0,10.0,13.0,0.0,0.34,0.34,0.0,0.34,0.1,0.23,0.33,0.1,0.33,Eredivisie
Alessio da Cruz,"FW,MF",Fortuna Sittard,1997.0,15.0,3.0,401.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,1.7,1.7,8.0,6.0,26.0,0.22,0.22,0.45,0.22,0.45,0.02,0.37,0.39,0.02,0.39,Eredivisie
Lennart-Marten Czyborra,DF,Zwolle,1999.0,5.0,2.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Eredivisie
Tiago Dantas,MF,AZ Alkmaar,2000.0,20.0,6.0,693.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.8,2.2,13.0,64.0,14.0,0.13,0.13,0.26,0.13,0.26,0.18,0.11,0.29,0.18,0.29,Eredivisie
Brian De Keersmaecker,MF,Heracles Almelo,2000.0,33.0,33.0,2951.0,32.8,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,2.4,3.4,33.0,133.0,38.0,0.06,0.06,0.12,0.06,0.12,0.03,0.07,0.1,0.03,0.1,Eredivisie
Jeffrey De Lange,GK,Go Ahead Eag,1998.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Mats Deijl,DF,Go Ahead Eag,1997.0,32.0,32.0,2780.0,30.9,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.6,0.8,1.6,2.4,15.0,96.0,85.0,0.03,0.06,0.1,0.0,0.06,0.05,0.05,0.1,0.03,0.08,Eredivisie
Maxim Dekker,DF,AZ Alkmaar,2004.0,5.0,0.0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Caner Demircioglu,FW,Volendam,2002.0,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie
Thomas van den Belt,MF,Feyenoord,2001.0,9.0,3.0,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,6.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.22,0.17,0.22,Eredivisie
Branco van den Boomen,MF,Ajax,1995.0,21.0,11.0,1072.0,11.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,2.2,3.1,29.0,135.0,24.0,0.17,0.08,0.25,0.17,0.25,0.08,0.18,0.26,0.08,0.26,Eredivisie
Damian van der Haar,DF,Zwolle,,16.0,2.0,291.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Eredivisie
Mickey van der Hart,GK,Heerenveen,1994.0,12.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Eredivisie
Mike van der Hoorn,DF,Utrecht,1992.0,21.0,20.0,1665.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.4,1.1,8.0,100.0,4.0,0.05,0.0,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Eredivisie
Djevencio van der Kust,DF,Sparta R'dam,2001.0,30.0,27.0,2504.0,27.8,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,3.4,4.1,57.0,108.0,113.0,0.04,0.22,0.25,0.04,0.25,0.02,0.12,0.15,0.02,0.15,Eredivisie
Mark van der Maarel,DF,Utrecht,1989.0,14.0,9.0,743.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.6,1.4,4.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,Eredivisie
Silvester van der Water,"FW,MF",Zwolle,1996.0,12.0,6.0,575.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,1.8,15.0,9.0,50.0,0.16,0.0,0.16,0.16,0.16,0.21,0.08,0.29,0.21,0.29,Eredivisie
Anthony Descotte,FW,Utrecht,2003.0,6.0,2.0,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,4.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.27,0.28,0.55,0.27,0.55,Eredivisie
Sergiño Dest,DF,PSV Eindhoven,2000.0,25.0,25.0,2118.0,23.5,2.0,6.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,3.7,5.7,124.0,110.0,169.0,0.08,0.25,0.34,0.08,0.34,0.09,0.16,0.24,0.09,0.24,Eredivisie
Mitchell Dijks,DF,Fortuna Sittard,1993.0,31.0,27.0,2341.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.6,2.0,49.0,95.0,46.0,0.0,0.08,0.08,0.0,0.08,0.01,0.06,0.08,0.01,0.08,Eredivisie
Javairô Dilrosun,"FW,MF",Feyenoord,1998.0,8.0,3.0,315.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,1.3,23.0,16.0,43.0,0.29,0.29,0.57,0.29,0.57,0.12,0.26,0.38,0.12,0.38,Eredivisie
Toni Domgjoni,MF,Vitesse,1998.0,15.0,6.0,671.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,6.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Eredivisie
Bas Dost,FW,NEC Nijmegen,1989.0,8.0,5.0,463.0,5.1,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0,1.2,1.5,2.7,0.0,12.0,26.0,0.58,0.39,0.97,0.39,0.78,0.38,0.29,0.67,0.23,0.52,Eredivisie
Achraf Douiri,"DF,FW",Volendam,1999.0,11.0,2.0,344.0,3.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,19.0,9.0,27.0,0.0,0.52,0.52,0.0,0.52,0.05,0.18,0.24,0.05,0.24,Eredivisie
Anastasios Douvikas,FW,Utrecht,1999.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.8,6.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17,0.38,0.22,0.38,Eredivisie
Bram van Driel,MF,Volendam,2005.0,8.0,2.0,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.14,0.09,0.14,Eredivisie
Couhaib Driouech,"FW,MF",Excelsior,2002.0,26.0,24.0,1920.0,21.3,6.0,6.0,12.0,6.0,0.0,0.0,4.0,0.0,4.3,4.3,5.7,10.0,123.0,64.0,147.0,0.28,0.28,0.56,0.28,0.56,0.2,0.27,0.47,0.2,0.47,Eredivisie
Joel Drommel,GK,PSV Eindhoven,1996.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Ferdy Druijf,"FW,MF",Zwolle,1998.0,15.0,11.0,948.0,10.5,5.0,2.0,7.0,3.0,2.0,2.0,2.0,0.0,4.6,3.0,1.7,4.6,4.0,31.0,57.0,0.47,0.19,0.66,0.28,0.47,0.43,0.16,0.59,0.28,0.44,Eredivisie
Deroy Duarte,MF,Fortuna Sittard,1999.0,28.0,27.0,2420.0,26.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,1.3,2.1,15.0,84.0,30.0,0.07,0.0,0.07,0.07,0.07,0.03,0.05,0.08,0.03,0.08,Eredivisie
Lance Duijvestijn,"MF,FW",Almere City,1999.0,14.0,3.0,450.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,2.1,8.0,27.0,38.0,0.0,0.4,0.4,0.0,0.4,0.11,0.31,0.42,0.11,0.42,Eredivisie
Lance Duijvestijn,"MF,FW",Excelsior,1999.0,14.0,13.0,1096.0,12.2,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,2.6,2.6,3.3,5.9,16.0,53.0,73.0,0.33,0.41,0.74,0.33,0.74,0.22,0.27,0.49,0.22,0.49,Eredivisie
Mike van Duinen,"FW,MF",Excelsior,1991.0,7.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Eredivisie
Oliver Edvardsen,"FW,MF",Go Ahead Eag,1999.0,33.0,30.0,2346.0,26.1,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,7.4,7.4,2.8,10.2,57.0,74.0,167.0,0.27,0.04,0.31,0.27,0.31,0.28,0.11,0.39,0.28,0.39,Eredivisie
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eredivisie
Victor Edvardsen,FW,Go Ahead Eag,1996.0,32.0,21.0,1826.0,20.3,6.0,1.0,7.0,4.0,2.0,3.0,1.0,0.0,10.5,8.1,1.3,9.5,28.0,31.0,106.0,0.3,0.05,0.35,0.2,0.25,0.52,0.07,0.58,0.4,0.47,Eredivisie
Espen van Ee,"MF,FW",Heerenveen,2003.0,18.0,2.0,410.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.3,0.9,5.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19,Eredivisie
Mike Eerdhuijzen,DF,Sparta R'dam,2000.0,19.0,15.0,1319.0,14.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,15.0,69.0,6.0,0.07,0.0,0.07,0.07,0.07,0.05,0.03,0.08,0.05,0.08,Eredivisie
Mats Egbring,DF,Vitesse,2006.0,4.0,0.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Carel Eiting,MF,Twente,1998.0,23.0,7.0,793.0,8.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.8,2.4,15.0,54.0,28.0,0.0,0.34,0.34,0.0,0.34,0.07,0.2,0.28,0.07,0.28,Eredivisie
Hamza el Dahri,"MF,FW",Sparta R'dam,2005.0,5.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eredivisie
Mario Engels,"FW,MF",Heracles Almelo,1993.0,34.0,15.0,1598.0,17.8,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,4.1,4.1,2.9,7.0,25.0,20.0,95.0,0.28,0.17,0.45,0.28,0.45,0.23,0.17,0.4,0.23,0.4,Eredivisie
Marcelencio Esajas,"MF,FW",Almere City,2002.0,1.0,0.0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.65,2.65,0.0,2.65,0.0,0.12,0.12,0.0,0.12,Eredivisie
Luca Everink,DF,Go Ahead Eag,2001.0,7.0,2.0,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Eredivisie
Kevin Felida,MF,RKC Waalwijk,1999.0,17.0,8.0,794.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.4,6.0,22.0,10.0,0.11,0.0,0.11,0.11,0.11,0.01,0.03,0.04,0.01,0.04,Eredivisie
Arianit Ferati,"MF,DF",Fortuna Sittard,1997.0,16.0,9.0,739.0,8.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,8.0,39.0,29.0,0.0,0.12,0.12,0.0,0.12,0.09,0.04,0.13,0.09,0.13,Eredivisie
Derensili Fernandes,"FW,MF",Excelsior,2001.0,30.0,16.0,1291.0,14.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.8,1.8,3.5,5.3,44.0,45.0,107.0,0.14,0.0,0.14,0.14,0.14,0.12,0.25,0.37,0.12,0.37,Eredivisie
