"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Background Information, League)"
Axel Guessand,DF,Udinese,2004.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,SerieA
Albert Guðmundsson,"FW,MF",Genoa,1997.0,35.0,34.0,3016.0,33.5,14.0,4.0,18.0,10.0,4.0,5.0,4.0,0.0,9.9,5.8,5.2,11.0,82.0,120.0,168.0,0.42,0.12,0.54,0.3,0.42,0.3,0.16,0.45,0.17,0.33,SerieA
Emmanuel Gyasi,"DF,FW",Empoli,1994.0,33.0,21.0,1879.0,20.9,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,3.5,3.5,1.5,5.0,15.0,41.0,60.0,0.05,0.1,0.14,0.05,0.14,0.17,0.07,0.24,0.17,0.24,SerieA
Norbert Gyömbér,DF,Salernitana,1992.0,22.0,20.0,1760.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.2,0.3,4.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,SerieA
Nicolas Haas,MF,Empoli,1996.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,SerieA
Ridgeciano Haps,DF,Genoa,1993.0,16.0,7.0,773.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,13.0,13.0,42.0,0.0,0.12,0.12,0.0,0.12,0.01,0.08,0.1,0.01,0.1,SerieA
Abdou Harroui,"MF,FW",Frosinone,1998.0,18.0,13.0,1019.0,11.3,3.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,3.1,2.3,1.2,3.5,43.0,38.0,56.0,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31,SerieA
Hans Hateboer,DF,Atalanta,1994.0,23.0,10.0,1113.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,2.0,2.4,19.0,42.0,71.0,0.0,0.08,0.08,0.0,0.08,0.03,0.16,0.19,0.03,0.19,SerieA
Pantelis Hatzidiakos,DF,Cagliari,1997.0,13.0,13.0,856.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,SerieA
Silvan Hefti,"MF,DF",Genoa,1997.0,6.0,1.0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SerieA
