"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Florian Sotoca,"MF,FW",Lens,1990.0,32.0,29.0,2598.0,28.9,7.0,6.0,13.0,3.0,4.0,4.0,4.0,1.0,9.1,5.9,6.5,12.4,56.0,156.0,253.0,0.24,0.21,0.45,0.1,0.31,0.32,0.22,0.54,0.21,0.43
Issa Soumaré,"FW,MF",Le Havre,2000.0,7.0,3.0,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,4.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.14,0.24,0.39,0.14,0.39
Saidou Sow,DF,Strasbourg,2002.0,10.0,8.0,719.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,1.0,24.0,0.0,0.0,0.13,0.13,0.0,0.13,0.04,0.06,0.1,0.04,0.1
Stijn Spierings,MF,Toulouse,1996.0,22.0,16.0,1516.0,16.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.6,1.0,16.0,157.0,22.0,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.06,0.02,0.06
Stijn Spierings,MF,Lens,1996.0,4.0,1.0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Stambouli,MF,Reims,1990.0,7.0,3.0,286.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.1,0.2,2.0,8.0,2.0,0.0,0.31,0.31,0.0,0.31,0.02,0.03,0.05,0.02,0.05
Gabriel Suazo,DF,Toulouse,1997.0,31.0,27.0,2357.0,26.2,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,3.0,3.7,44.0,114.0,166.0,0.0,0.15,0.15,0.0,0.15,0.03,0.12,0.14,0.03,0.14
Abakar Sylla,DF,Strasbourg,2002.0,22.0,19.0,1792.0,19.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.5,2.0,8.0,72.0,2.0,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1
Dembo Sylla,DF,Lorient,2002.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
Issiaga Sylla,"DF,FW",Montpellier,1994.0,19.0,17.0,1455.0,16.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.7,3.1,29.0,43.0,51.0,0.06,0.12,0.19,0.06,0.19,0.09,0.11,0.19,0.09,0.19
Musa Al-Taamari,FW,Montpellier,1997.0,27.0,24.0,1928.0,21.4,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,3.6,3.6,3.5,7.1,81.0,54.0,168.0,0.23,0.09,0.33,0.23,0.33,0.17,0.16,0.33,0.17,0.33
